gene.id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,design,comparison,flag
Vwf,1120.914914,0.483764058,0.154529234,3.130566588,0.001744694,0.999946781,~cohort + diet,old ID vs CD,
Phactr1,55.46037545,0.717750322,0.229330779,3.129760103,0.001749491,0.999946781,~cohort + diet,old ID vs CD,
Sell,55.58586791,1.093441078,0.758394554,1.441783926,0.149363339,0.999946781,~cohort + diet,old ID vs CD,
Galnt16,143.1289451,0.414971831,0.132933748,3.121643968,0.001798443,0.999946781,~cohort + diet,old ID vs CD,
Gbp8,14.28654803,1.089024127,0.598109118,1.820778339,0.068640558,0.999946781,~cohort + diet,old ID vs CD,
A630072M18Rik,47.21460585,1.070241993,0.600866734,1.781163663,0.074885718,0.999946781,~cohort + diet,old ID vs CD,
Ostm1,1162.997219,-0.249658702,0.080179405,-3.113750996,0.001847253,0.999946781,~cohort + diet,old ID vs CD,
Ttc13,556.4067394,-0.252063161,0.081326984,-3.099379197,0.001939266,0.999946781,~cohort + diet,old ID vs CD,
Col6a6,165.7188403,1.051981244,0.349623259,3.008899489,0.002621958,0.999946781,~cohort + diet,old ID vs CD,
Fcna,49.5452136,1.121762642,0.375917084,2.984069336,0.002844423,0.999946781,~cohort + diet,old ID vs CD,
Cdk12,360.0865257,0.343025884,0.115327028,2.974375474,0.002935856,0.999946781,~cohort + diet,old ID vs CD,
Zdhhc21,774.2108432,-0.240013598,0.081225111,-2.954918669,0.003127515,0.999946781,~cohort + diet,old ID vs CD,
Syne3,103.7561339,0.523873169,0.177590412,2.949895573,0.003178814,0.999946781,~cohort + diet,old ID vs CD,
Slfn1,20.35199044,1.019135121,0.529504271,1.924696694,0.054267314,0.999946781,~cohort + diet,old ID vs CD,
Slamf8,15.06730434,1.005077568,0.519232044,1.935700193,0.052904431,0.999946781,~cohort + diet,old ID vs CD,
Gbp6,36.43104183,1.004097938,1.886249896,0.53232498,0.594500934,0.999946781,~cohort + diet,old ID vs CD,
Pappa2,35.46554793,0.997990043,0.733603264,1.360394769,0.173705033,0.999946781,~cohort + diet,old ID vs CD,
Gm9899,13.17818805,0.982647906,0.793581973,1.238243735,0.215625699,0.999946781,~cohort + diet,old ID vs CD,
Col14a1,395.4449108,0.845964212,0.287578053,2.941685582,0.003264312,0.999946781,~cohort + diet,old ID vs CD,
Pcdh20,22.8028955,1.048245412,0.357692992,2.930572963,0.003383375,0.999946781,~cohort + diet,old ID vs CD,
Bcl2a1b,17.92347845,0.978010346,0.599202372,1.63218704,0.10264009,0.999946781,~cohort + diet,old ID vs CD,
Spns2,631.836383,0.415507076,0.142189549,2.92220545,0.003475622,0.999946781,~cohort + diet,old ID vs CD,
Atp1a3,46.49102627,0.962544987,0.523530238,1.838566176,0.06597902,0.999946781,~cohort + diet,old ID vs CD,
Pigv,230.7989554,-0.269711445,0.092422549,-2.918242863,0.003520101,0.999946781,~cohort + diet,old ID vs CD,
Adamtsl3,149.2931775,0.544893922,0.189281307,2.878751901,0.003992523,0.999946781,~cohort + diet,old ID vs CD,
Mmp9,91.73914171,0.894193794,0.312439535,2.861973897,0.004210116,0.999946781,~cohort + diet,old ID vs CD,
Ly6c2,30.72238679,0.919391667,0.528227791,1.740521198,0.081767541,0.999946781,~cohort + diet,old ID vs CD,
A530099J19Rik,19.76281976,0.917088653,0.539157731,1.700965412,0.088949482,0.999946781,~cohort + diet,old ID vs CD,
Kera,114.6666211,0.907189054,0.739497438,1.226764296,0.219911194,0.999946781,~cohort + diet,old ID vs CD,
Tnmd,118.9125918,0.906204891,0.597667778,1.516235148,0.129459903,0.999946781,~cohort + diet,old ID vs CD,
Ace,774.8282669,0.319810139,0.112018143,2.854985187,0.004303884,0.999946781,~cohort + diet,old ID vs CD,
Armc6,175.5777482,-0.33059254,0.116266278,-2.843408645,0.00446338,0.999946781,~cohort + diet,old ID vs CD,
Scara3,188.3581396,0.422181586,0.149206311,2.829515608,0.004661853,0.999946781,~cohort + diet,old ID vs CD,
Doc2b,16.63426123,0.889430749,0.474511548,1.874413284,0.060873484,0.999946781,~cohort + diet,old ID vs CD,
Gm10550,7.732828803,0.88816674,2.43588214,0.364618109,0.715396495,0.999946781,~cohort + diet,old ID vs CD,
Rnf213,978.5265772,0.363486805,0.129088557,2.815794174,0.004865683,0.999946781,~cohort + diet,old ID vs CD,
H2-Q5,30.36835092,0.885057681,0.456493173,1.938819097,0.05252337,0.999946781,~cohort + diet,old ID vs CD,
Cbx7,546.3786897,0.266091502,0.094567803,2.813764239,0.004896513,0.999946781,~cohort + diet,old ID vs CD,
Faim3,20.49539143,0.881929341,1.190566947,0.740764174,0.458836441,0.999946781,~cohort + diet,old ID vs CD,
Ighg2b,400.3822338,0.872348009,1.083193208,0.805348485,0.42061861,0.999946781,~cohort + diet,old ID vs CD,
Hoxa10,355.9908778,-0.334438514,0.119059052,-2.80901375,0.004969352,0.999946781,~cohort + diet,old ID vs CD,
Akap8l,793.8908243,0.215057349,0.076672689,2.804875546,0.005033601,0.999946781,~cohort + diet,old ID vs CD,
P2ry10,42.14835102,0.863845594,0.845655633,1.021509892,0.307012925,0.999946781,~cohort + diet,old ID vs CD,
Adamts8,21.09064291,0.858475881,0.540809425,1.587390755,0.112424172,0.999946781,~cohort + diet,old ID vs CD,
Wif1,14.51621361,0.854586332,0.731664018,1.168003771,0.242805244,0.999946781,~cohort + diet,old ID vs CD,
Duox1,26.39960679,0.846887427,0.490449173,1.726758802,0.08421099,0.999946781,~cohort + diet,old ID vs CD,
Msi2,3786.403306,-0.18548893,0.06616518,-2.80342212,0.005056344,0.999946781,~cohort + diet,old ID vs CD,
Stab1,431.6523817,0.558421779,0.199252913,2.802577739,0.0050696,0.999946781,~cohort + diet,old ID vs CD,"STAB1 on macrophages plays a protective, second-line defensive role against oxidative tissue damage by clearing oxidized lipids (e.g., MDA-LDL) from damaged tissue.  During aging, this macrophage-driven repair process becomes blunted. Dysfunctional or senescent macrophages alter the muscle's extracellular matrix, impairing the ability of muscle stem cells (satellite cells) to regenerate muscle tissue following damage."
RP23-334M9.3,15.33455462,0.840404718,0.512058485,1.641227992,0.100750097,0.999946781,~cohort + diet,old ID vs CD,
Vash2,21.53632532,0.839937961,0.449000202,1.87068504,0.06138875,0.999946781,~cohort + diet,old ID vs CD,
Siglecg,23.26680863,0.838689908,0.724905753,1.156964066,0.247287042,0.999946781,~cohort + diet,old ID vs CD,
Kcnk3,93.14360083,0.838067309,0.689517337,1.215440517,0.224198123,0.999946781,~cohort + diet,old ID vs CD,
Acap1,21.3670362,0.838064649,0.580871819,1.44277037,0.149085169,0.999946781,~cohort + diet,old ID vs CD,
mt-Rnr2,93402.93601,0.826390373,0.296940653,2.783015278,0.005385627,0.999946781,~cohort + diet,old ID vs CD,
Adam8,35.74374756,0.832593207,0.50942832,1.634367729,0.10218166,0.999946781,~cohort + diet,old ID vs CD,
Aspm,18.42269194,0.832444328,0.561535809,1.482442106,0.138222697,0.999946781,~cohort + diet,old ID vs CD,
Kmt2e,996.1705163,0.225687545,0.081474274,2.770046717,0.005604825,0.999946781,~cohort + diet,old ID vs CD,
Itga8,130.4597627,0.602396415,0.219064926,2.749853326,0.005962195,0.999946781,~cohort + diet,old ID vs CD,
Dhrs9,18.67637795,0.815981377,0.788438295,1.03493372,0.300699866,0.999946781,~cohort + diet,old ID vs CD,
Slc25a48,12.48721178,0.814198309,0.859029843,0.947811436,0.343225458,0.999946781,~cohort + diet,old ID vs CD,
Meg3,324.1191141,0.502539146,0.183692201,2.735767451,0.006223499,0.999946781,~cohort + diet,old ID vs CD,BADDIE CENTRAL
Nr3c2,401.0684793,-0.221725799,0.081237147,-2.729364659,0.006345649,0.999946781,~cohort + diet,old ID vs CD,
Celsr1,13.58262683,0.805980593,0.812296089,0.99222513,0.321087716,0.999946781,~cohort + diet,old ID vs CD,
Clec7a,56.21446255,0.803085114,0.417049078,1.925636947,0.054149722,0.999946781,~cohort + diet,old ID vs CD,
Cilp2,27.49059254,0.800187516,0.513582602,1.558050279,0.11922133,0.999946781,~cohort + diet,old ID vs CD,
Tlr9,16.14522238,0.796735586,0.510618907,1.560333106,0.118681184,0.999946781,~cohort + diet,old ID vs CD,
F630028O10Rik,35.67992986,0.79651187,0.492039894,1.618795306,0.105491313,0.999946781,~cohort + diet,old ID vs CD,
Kcnn4,25.84231707,0.793313019,0.457003796,1.735900285,0.082581467,0.999946781,~cohort + diet,old ID vs CD,
Rgs6,18.49479838,0.787206839,0.416367806,1.890652511,0.058670746,0.999946781,~cohort + diet,old ID vs CD,
Mrc1,698.8686922,0.600277391,0.220936787,2.716964427,0.006588369,0.999946781,~cohort + diet,old ID vs CD,
Acot1,25.21843948,0.775809556,0.414210785,1.872982512,0.0610708,0.999946781,~cohort + diet,old ID vs CD,
Lep,895.2893718,-1.405988649,0.518843461,-2.709851342,0.006731337,0.999946781,~cohort + diet,old ID vs CD,BADDIE CENTRAL
Gm26873,22.36321423,0.772236017,0.443439506,1.741468691,0.081601457,0.999946781,~cohort + diet,old ID vs CD,
Tmem79,28.76168309,0.769265707,0.456919472,1.683591431,0.092260656,0.999946781,~cohort + diet,old ID vs CD,
Hid1,40.3467653,0.681662277,0.251571707,2.709614228,0.006736151,0.999946781,~cohort + diet,old ID vs CD,supports the nervous and endocrine systems that govern overall metabolism and signaling
C6,17.31198846,0.767811834,0.522127506,1.470544697,0.14141429,0.999946781,~cohort + diet,old ID vs CD,
Tenm2,30.77961128,0.759783009,0.412040504,1.843952234,0.065190102,0.999946781,~cohort + diet,old ID vs CD,
Tmpo,1486.897692,0.171162726,0.063289979,2.704420663,0.006842361,0.999946781,~cohort + diet,old ID vs CD,
Myb,13.64919016,0.756689656,0.662942119,1.141411344,0.253698786,0.999946781,~cohort + diet,old ID vs CD,
Pik3r3,446.6549916,-0.29501578,0.10991534,-2.684027348,0.007274116,0.999946781,~cohort + diet,old ID vs CD,
Susd1,24.72088945,1.097598928,0.409183,2.68241576,0.007309256,0.999946781,~cohort + diet,old ID vs CD,
Copz1,913.9776957,-0.170192948,0.063468713,-2.681525136,0.007328741,0.999946781,~cohort + diet,old ID vs CD,
Asf1b,21.67577348,0.743515989,0.420384952,1.7686551,0.07695145,0.999946781,~cohort + diet,old ID vs CD,
Cfd,4105.161962,0.74349384,0.450225354,1.651381544,0.098660691,0.999946781,~cohort + diet,old ID vs CD,
C7,43.25215544,0.740702722,0.4282002,1.729804709,0.083665173,0.999946781,~cohort + diet,old ID vs CD,
Gm4759,13.59687588,0.739966161,0.823105887,0.898992672,0.368656564,0.999946781,~cohort + diet,old ID vs CD,
4933427D14Rik,43.87079131,0.738565407,0.665834382,1.109232907,0.26732972,0.999946781,~cohort + diet,old ID vs CD,
Gm10602,22.95736116,0.73471964,0.376706354,1.950377612,0.051131128,0.999946781,~cohort + diet,old ID vs CD,
Socs2,324.7843842,0.574152724,0.214294727,2.679266694,0.00737836,0.999946781,~cohort + diet,old ID vs CD,"influences energy production by upregulating genes related to mitochondrial biogenesis, such as PGC-1\(\alpha \). This helps the body regulate fatty acid oxidation and maintain proper glycemic control even when growth hormone axes are highly active"
0610009E02Rik,35.68600791,-0.80359425,0.301129677,-2.668598654,0.007616841,0.999946781,~cohort + diet,old ID vs CD,
Aspg,47.73201866,0.729779954,0.574583435,1.270102668,0.204048061,0.999946781,~cohort + diet,old ID vs CD,
Gm10359,973.0495729,0.72966304,0.629397664,1.159303698,0.246332415,0.999946781,~cohort + diet,old ID vs CD,
Alox5,29.8446333,0.729586816,0.4401668,1.657523503,0.097413681,0.999946781,~cohort + diet,old ID vs CD,
Gm11711,12.73522173,0.727423118,0.780292675,0.932243941,0.351210472,0.999946781,~cohort + diet,old ID vs CD,
Fcgr3,169.722404,0.651819685,0.244420812,2.666792899,0.007657885,0.999946781,~cohort + diet,old ID vs CD,
Hk3,22.54637763,0.726246814,0.465556686,1.55995357,0.118770854,0.999946781,~cohort + diet,old ID vs CD,
Gpc6,45.76978704,0.724453499,0.400549999,1.808646861,0.070505883,0.999946781,~cohort + diet,old ID vs CD,
Gpx8,177.7774707,0.498845946,0.188629808,2.644576444,0.008179323,0.999946781,~cohort + diet,old ID vs CD,1
Gm12250,25.57838718,0.718963784,0.580637598,1.238231535,0.215630222,0.999946781,~cohort + diet,old ID vs CD,
Suco,500.0346498,-0.245743794,0.093393221,-2.631280863,0.008506371,0.999946781,~cohort + diet,old ID vs CD,
Bin2,31.28124444,0.717575181,0.568518821,1.262183685,0.206882698,0.999946781,~cohort + diet,old ID vs CD,
Clec2i,19.79336514,0.716949093,0.543328989,1.319548758,0.186985721,0.999946781,~cohort + diet,old ID vs CD,
Clca1,23.57232201,1.251870409,0.476630147,2.626502784,0.008626729,0.999946781,~cohort + diet,old ID vs CD,
Plcb2,17.84168627,0.714409565,0.619564038,1.1530843,0.248875785,0.999946781,~cohort + diet,old ID vs CD,
Slmo2,1390.81636,-0.176055306,0.067161385,-2.621376947,0.008757537,0.999946781,~cohort + diet,old ID vs CD,
Thbs4,1488.099974,0.712621866,0.434076795,1.641695374,0.100653151,0.999946781,~cohort + diet,old ID vs CD,
Cadm3,252.6028612,0.501246699,0.191695761,2.614803252,0.008927887,0.999946781,~cohort + diet,old ID vs CD,
Tnfsf10,242.9904764,0.618780589,0.236746886,2.613679949,0.00895729,0.999946781,~cohort + diet,old ID vs CD,
Postn,667.2252635,0.708034124,0.504952557,1.4021795,0.160861652,0.999946781,~cohort + diet,old ID vs CD,
C1qtnf3,34.62520391,0.706109092,0.538755146,1.310630809,0.189982525,0.999946781,~cohort + diet,old ID vs CD,
Cd300lf,19.4428821,0.705424642,0.621099655,1.135767242,0.25605399,0.999946781,~cohort + diet,old ID vs CD,
Med12l,32.49910971,0.703135907,0.491763123,1.429826423,0.152766843,0.999946781,~cohort + diet,old ID vs CD,
Apol11b,21.16110328,0.700642559,0.794872879,0.881452339,0.37807304,0.999946781,~cohort + diet,old ID vs CD,
Lck,16.90301982,0.694321391,0.697959691,0.994787234,0.319839756,0.999946781,~cohort + diet,old ID vs CD,
Dennd2d,45.87042016,0.693301508,0.355570093,1.949830767,0.051196293,0.999946781,~cohort + diet,old ID vs CD,
